municipio,UF,Módulo fiscal (ha),,
Damianópolis,GO,70,,
Damolândia,GO,30,,
Davinópolis,GO,30,,
Diorama,GO,50,,
Divinópolis de Goiás,GO,70,,
Doverlândia,GO,60,,
Edealina,GO,30,,
Edéia,GO,30,,
Estrela do Norte,GO,50,,
Faina,GO,45,,
Fazenda Nova,GO,30,,
Firminópolis,GO,30,,
Flores de Goiás,GO,70,,
Formosa,GO,40,,
Formoso,GO,50,,
Gameleira de Goiás,GO,30,,
Goianápolis,GO,20,,
Goiandira,GO,35,,
Goianésia,GO,20,,
Goiânia,GO,7,,
Goianira,GO,20,,
Goiás,GO,45,,
Goiatuba,GO,30,,
Gouvelândia,GO,30,,
Guapó,GO,22,,
Guaraíta,GO,20,,
Guarani de Goiás,GO,70,,
Guarinos,GO,50,,
Heitoraí,GO,20,,
Hidrolândia,GO,35,,
Hidrolina,GO,35,,
Iaciara,GO,70,,
Inaciolândia,GO,24,,
Indiara,GO,30,,
Inhumas,GO,24,,
Ipameri,GO,40,,
Ipiranga de Goiás,GO,20,,
Iporá,GO,30,,
Israelândia,GO,30,,
Itaberaí,GO,20,,
Itaguari,GO,20,,
Itaguaru,GO,20,,
Itajá,GO,30,,
Itapaci,GO,30,,
Itapirapuã,GO,45,,
Itapuranga,GO,20,,
Itarumã,GO,35,,
Itauçu,GO,26,,
Itumbiara,GO,24,,
Ivolândia,GO,30,,
Jandaia,GO,30,,
Jaraguá,GO,20,,
Jataí,GO,40,,
Jaupaci,GO,22,,
Jesúpolis,GO,20,,
Joviânia,GO,26,,
Jussara,GO,45,,
Lagoa Santa,GO,30,,
Leopoldo de Bulh§es,GO,16,,
Luziânia,GO,40,,
Mairipotaba,GO,35,,
Mambaí,GO,70,,
Mara Rosa,GO,60,,
Marzagão,GO,45,,
Matrinchã,GO,50,,
Maurilândia,GO,22,,
Mimoso de Goiás,GO,40,,
Minaçu,GO,50,,
Mineiros,GO,60,,
Moiporá,GO,30,,
Monte Alegre de Goiás,GO,80,,
Montes Claros de Goiás,GO,45,,
Montividiu,GO,30,,
Montividiu do Norte,GO,50,,
Morrinhos,GO,40,,
Morro Agudo de Goiás,GO,30,,
Mossâmedes,GO,22,,
Mozarlândia,GO,50,,
Mundo Novo,GO,60,,
Mutunópolis,GO,55,,
Nazário,GO,22,,
Nerópolis,GO,20,,
Niquelândia,GO,60,,
Nova América,GO,30,,
Nova Aurora,GO,45,,
Nova Crixás,GO,60,,
Nova Glória,GO,20,,
Nova Iguaçu de Goiás,GO,60,,
Nova Roma,GO,70,,
Nova Veneza,GO,22,,
Novo Brasil,GO,20,,
Novo Gama,GO,40,,
Novo Planalto,GO,70,,
Orizona,GO,35,,
Ouro Verde de Goiás,GO,20,,
Ouvidor,GO,40,,
Padre Bernardo,GO,40,,
Palestina de Goiás,GO,60,,
Palmeiras de Goiás,GO,22,,
Palmelo,GO,30,,
Palminópolis,GO,30,,
Panamá,GO,20,,
Paranaiguara,GO,30,,
Paraúna,GO,30,,
Perolândia,GO,40,,
Petrolina de Goiás,GO,26,,
Pilar de Goiás,GO,50,,
Piracanjuba,GO,30,,
Piranhas,GO,50,,
Pirenópolis,GO,35,,
Pires do Rio,GO,35,,
Planaltina,GO,35,,
Pontalina,GO,35,,
Porangatu,GO,60,,
Porteirão,GO,30,,
Portelândia,GO,60,,
Posse,GO,70,,
Professor Jamil,GO,30,,
Quirinópolis,GO,30,,
Rialma,GO,20,,
Rianápolis,GO,20,,
Rio Quente,GO,45,,
Rio Verde,GO,30,,
Rubiataba,GO,30,,
Sanclerlândia,GO,26,,
Santa Bárbara de Goiás,GO,22,,
Santa Cruz de Goiás,GO,35,,
Santa Fé de Goiás,GO,45,,
Santa Helena de Goiás,GO,20,,
Santa Isabel,GO,20,,
Santa Rita do Araguaia,GO,60,,
Santa Rita do Novo Destino,GO,30,,
Santa Rosa de Goiás,GO,20,,
Santa Tereza de Goiás,GO,50,,
Santa Terezinha de Goiás,GO,50,,
Santo Antânio da Barra,GO,30,,
Santo Antânio de Goiás,GO,20,,
Santo Antânio do Descoberto,GO,40,,
São Domingos,GO,70,,
São Francisco de Goiás,GO,20,,
São João da Paraúna,GO,30,,
São João D'aliança,GO,70,,
São Luís de Montes Belos,GO,30,,
São Luíz do Norte,GO,30,,
São Miguel do Araguaia,GO,70,,
São Miguel do Passa Quatro,GO,30,,
São Patrício,GO,20,,
São Simão,GO,35,,
Senador Canedo,GO,7,,
Serranópolis,GO,40,,
Silvânia,GO,30,,
Simolândia,GO,70,,
Sítio D'abadia,GO,70,,
Taquaral de Goiás,GO,20,,
Teresina de Goiás,GO,70,,
Terezópolis de Goiás,GO,20,,
Três Ranchos,GO,40,,
Trindade,GO,20,,
Trombas,GO,50,,
Turvânia,GO,22,,
Turvelândia,GO,30,,
Uirapuru,GO,60,,
Uruaçu,GO,50,,
Uruana,GO,20,,
Urutaí,GO,30,,
Valparaíso de Goiás,GO,40,,
Varjão,GO,35,,
Vianópolis,GO,40,,
Vicentinópolis,GO,35,,
Vila Boa,GO,40,,
Vila Propício,GO,35,,
Açailândia,MA,75,,
Afonso Cunha,MA,70,,
Água Doce do Maranhão,MA,70,,
Alcântara,MA,55,,
Aldeias Altas,MA,55,,
Altamira do Maranhão,MA,60,,
Alto Alegre do Maranhão,MA,70,,
Alto Alegre do Pindaré,MA,60,,
Alto Parnaíba,MA,75,,
Amapá do Maranhão,MA,75,,
Amarante do Maranhão,MA,75,,
Anajatuba,MA,55,,
Anapurus,MA,70,,
Apicum-Açu,MA,55,,
Araguanã,MA,60,,
Araioses,MA,70,,
Arame,MA,70,,
Arari,MA,55,,
Axixá,MA,70,,
Bacabal,MA,60,,
Bacabeira,MA,30,,
Bacuri,MA,55,,
Bacurituba,MA,55,,
Balsas,MA,75,,
Barão de Grajaú,MA,70,,
Barra do Corda,MA,70,,
Barreirinhas,MA,70,,
Bela Vista do Maranhão,MA,60,,
Belágua,MA,70,,
Benedito Leite,MA,75,,
Bequimão,MA,55,,
Bernardo do Mearim,MA,60,,
Boa Vista do Gurupi,MA,75,,
Bom Jardim,MA,60,,
Bom Jesus das Selvas,MA,60,,
Bom Lugar,MA,60,,
Brejo,MA,70,,
Brejo de Areia,MA,60,,
Buriti,MA,70,,
Buriti Bravo,MA,70,,
Buriticupu,MA,60,,
Buritirana,MA,75,,
Cachoeira Grande,MA,70,,
Cajapió,MA,55,,
Cajari,MA,55,,
Campestre do Maranhão,MA,75,,
Cândido Mendes,MA,75,,
Cantanhede,MA,55,,
Capinzal do Norte,MA,60,,
Carolina,MA,75,,
Carutapera,MA,75,,
Caxias,MA,55,,
Cedral,MA,55,,
Central do Maranhão,MA,55,,
Centro do Guilherme,MA,75,,
Centro Novo do Maranhão,MA,75,,
Chapadinha,MA,70,,
Cidelândia,MA,75,,
Codó,MA,60,,
Coelho Neto,MA,70,,
Colinas,MA,70,,
Conceição do Lago-Açu,MA,60,,
Coroatá,MA,70,,
Cururupu,MA,55,,
Davinópolis,MA,75,,
Dom Pedro,MA,70,,
Duque Bacelar,MA,70,,
Esperantinópolis,MA,50,,
Estreito,MA,75,,
Feira Nova do Maranhão,MA,75,,
Fernando Falcão,MA,70,,
Formosa da Serra Negra,MA,70,,
Fortaleza dos Nogueiras,MA,75,,
Fortuna,MA,70,,
Godofredo Viana,MA,75,,
Gonçalves Dias,MA,70,,
Governador Archer,MA,70,,
Governador Edison Lobão,MA,75,,
Governador Eugênio Barros,MA,70,,
Governador Luiz Rocha,MA,70,,
Governador Newton Bello,MA,60,,
Governador Nunes Freire,MA,75,,
Graça Aranha,MA,70,,
Grajaú,MA,70,,
Guimarães,MA,55,,
Humberto de Campos,MA,70,,
Icatu,MA,65,,
Igarapé do Meio,MA,60,,
Igarapé Grande,MA,60,,
Imperatriz,MA,75,,
Itaipava do Grajaú,MA,70,,
Itapecuru Mirim,MA,55,,
Itinga do Maranhão,MA,75,,
Jatobá,MA,70,,
Jenipapo dos Vieiras,MA,70,,
João Lisboa,MA,75,,
Joselândia,MA,50,,
Junco do Maranhão,MA,75,,
Lago da Pedra,MA,60,,
Lago do Junco,MA,60,,
Lago dos Rodrigues,MA,60,,
Lago Verde,MA,60,,
Lagoa do Mato,MA,70,,
Lagoa Grande do Maranhão,MA,60,,
Lajeado Novo,MA,75,,
Lima Campos,MA,60,,
Loreto,MA,75,,
Luís Domingues,MA,75,,
Magalhães de Almeida,MA,70,,
Maracaçumé,MA,75,,
Marajá do Sena,MA,60,,
Maranhãozinho,MA,75,,
Mat§es,MA,55,,
Mat§es do Norte,MA,55,,
Mata Roma,MA,70,,
Matinha,MA,55,,
Milagres do Maranhão,MA,70,,
Mirador,MA,70,,
Miranda do Norte,MA,55,,
Mirinzal,MA,55,,
Monção,MA,60,,
Montes Altos,MA,75,,
Morros,MA,70,,
Nina Rodrigues,MA,70,,
Nova Colinas,MA,75,,
Nova Iorque,MA,70,,
Nova Olinda do Maranhão,MA,75,,
Olho D'água das Cunhãs,MA,60,,
Olinda Nova do Maranhão,MA,55,,
Paço do Lumiar,MA,30,,
Palmeirândia,MA,55,,
Paraibano,MA,70,,
Parnarama,MA,55,,
Passagem Franca,MA,70,,
Pastos Bons,MA,70,,
Paulino Neves,MA,70,,
Paulo Ramos,MA,60,,
Pedreiras,MA,60,,
Pedro do Rosário,MA,55,,
Penalva,MA,55,,
Peri Mirim,MA,55,,
Peritoró,MA,70,,
Pindaré Mirim,MA,60,,
Pinheiro,MA,55,,
Pio Xii,MA,60,,
Pirapemas,MA,55,,
Poção de Pedras,MA,60,,
Porto Franco,MA,75,,
Porto Rico do Maranhão,MA,55,,
Presidente Dutra,MA,70,,
Presidente Juscelino,MA,70,,
Presidente Médici,MA,75,,
Presidente Sarney,MA,55,,
Presidente Vargas,MA,70,,
Primeira Cruz,MA,70,,
Raposa,MA,30,,
Riachão,MA,75,,
Ribamar Fiquene,MA,75,,
Rosário,MA,30,,
Sambaíba,MA,75,,
Santa Filomena do Maranhão,MA,70,,
Santa Helena,MA,60,,
Santa Inês,MA,60,,
Santa Luzia,MA,60,,
Santa Luzia do Paruá,MA,75,,
Santa Quitéria do Maranhão,MA,70,,
Santa Rita,MA,55,,
Santana do Maranhão,MA,70,,
Santo Amaro do Maranhão,MA,70,,
Santo Antânio dos Lopes,MA,60,,
São Benedito do Rio Preto,MA,70,,
São Bento,MA,55,,
São Bernardo,MA,70,,
São Domingos do Azeitão,MA,75,,
São Domingos do Maranhão,MA,70,,
São Félix de Balsas,MA,75,,
São Francisco do Brejão,MA,75,,
São Francisco do Maranhão,MA,70,,
São João Batista,MA,55,,
São João do Carú,MA,60,,
São João do Paraíso,MA,75,,
São João do Soter,MA,55,,
São João dos Patos,MA,70,,
São José de Ribamar,MA,30,,
São José dos Basílios,MA,70,,
São Luís,MA,15,,
São Luís Gonzaga do Maranhão,MA,60,,
São Mateus do Maranhão,MA,55,,
São Pedro da Água Branca,MA,75,,
São Pedro dos Crentes,MA,75,,
São Raimundo das Mangabeiras,MA,75,,
São Raimundo do Doca Bezerra,MA,50,,
São Roberto,MA,50,,
São Vicente Ferrer,MA,55,,
Satubinha,MA,60,,
Senador Alexandre Costa,MA,70,,
Senador La Rocque,MA,75,,
Serrano do Maranhão,MA,55,,
Sítio Novo,MA,70,,
Sucupira do Norte,MA,70,,
Sucupira do Riachão,MA,70,,
Tasso Fragoso,MA,75,,
Timbiras,MA,70,,
Timon,MA,55,,
Trizidela do Vale,MA,60,,
Tufilândia,MA,60,,
Tuntum,MA,70,,
Turiaçu,MA,75,,
Turilândia,MA,75,,
Tutóia,MA,70,,
Urbano Santos,MA,70,,
Vargem Grande,MA,70,,
Viana,MA,55,,
Vila Nova dos Martírios,MA,75,,
Vitória do Mearim,MA,60,,
Vitorino Freire,MA,60,,
Zé Doca,MA,60,,
Abadia dos Dourados,MG,40,,
Abaeté,MG,40,,
Abre Campo,MG,26,,
Acaiaca,MG,26,,
Açucena,MG,30,,
Água Boa,MG,30,,
Água Comprida,MG,24,,
Aguanil,MG,30,,
Águas Formosas,MG,60,,
Águas Vermelhas,MG,65,,
Aimorés,MG,30,,
Aiuruoca,MG,30,,
Alagoa,MG,30,,
Albertina,MG,30,,
Além Paraíba,MG,30,,
Alfenas,MG,26,,
Alfredo Vasconcelos,MG,30,,
Almenara,MG,60,,
Alpercata,MG,30,,
Alpinópolis,MG,26,,
Alterosa,MG,26,,
Alto Caparaó,MG,24,,
Alto Jequitibá,MG,24,,
Alto Rio Doce,MG,28,,
Alvarenga,MG,30,,
Alvinópolis,MG,20,,
Alvorada de Minas,MG,30,,
Amparo do Serra,MG,26,,
Andradas,MG,26,,
Andrelândia,MG,30,,
Angelândia,MG,40,,
Antânio Carlos,MG,22,,
Antânio Dias,MG,20,,
Antânio Prado de Minas,MG,28,,
Araçaí,MG,20,,
Aracitaba,MG,24,,
Araçuaí,MG,65,,
Araguari,MG,30,,
Arantina,MG,30,,
Araponga,MG,28,,
Araporã,MG,20,,
Arapuá,MG,40,,
Araújos,MG,35,,
Araxá,MG,35,,
Arceburgo,MG,28,,
Arcos,MG,35,,
Areado,MG,26,,
Argirita,MG,30,,
Aricanduva,MG,40,,
Arinos,MG,65,,
Astolfo Dutra,MG,30,,
Ataléia,MG,50,,
Augusto de Lima,MG,40,,
Baependi,MG,30,,
Baldim,MG,20,,
Bambuí,MG,35,,
Bandeira,MG,60,,
Bandeira do Sul,MG,26,,
Barão de Cocais,MG,20,,
Barão de Monte Alto,MG,28,,
Barbacena,MG,22,,
Barra Longa,MG,26,,
Barroso,MG,22,,
Bela Vista de Minas,MG,20,,
Belmiro Braga,MG,24,,
Belo Horizonte,MG,5,,
Belo Oriente,MG,24,,
Belo Vale,MG,20,,
Berilo,MG,40,,
Berizal,MG,65,,
Bertópolis,MG,60,,
Betim,MG,7,,
Bias Fortes,MG,24,,
Bicas,MG,24,,
Biquinhas,MG,40,,
Boa Esperança,MG,26,,
Bocaina de Minas,MG,30,,
Bocaiúva,MG,40,,
Bom Despacho,MG,35,,
Bom Jardim de Minas,MG,30,,
Bom Jesus da Penha,MG,28,,
Bom Jesus do Amparo,MG,20,,
Bom Jesus do Galho,MG,20,,
Bom Repouso,MG,30,,
Bom Sucesso,MG,30,,
Bonfim,MG,20,,
Bonfinópolis de Minas,MG,50,,
Bonito de Minas,MG,65,,
Borda da Mata,MG,30,,
Botelhos,MG,26,,
Botumirim,MG,50,,
Brás Pires,MG,22,,
Brasilândia de Minas,MG,65,,
Brasília de Minas,MG,50,,
Brasópolis,MG,30,,
Braúnas,MG,30,,
Brumadinho,MG,20,,
Bueno Brandão,MG,30,,
Buenópolis,MG,40,,
Bugre,MG,20,,
Buritis,MG,65,,
Buritizeiro,MG,70,,
Cabeceira Grande,MG,65,,
Cabo Verde,MG,28,,
Cachoeira da Prata,MG,20,,
Cachoeira de Minas,MG,30,,
Cachoeira de Pajeú,MG,65,,
Cachoeira Dourada,MG,30,,
Caetanópolis,MG,20,,
Caeté,MG,7,,
Caiana,MG,24,,
Cajuri,MG,22,,
Caldas,MG,26,,
Camacho,MG,30,,
Camanducaia,MG,30,,
Cambuí,MG,30,,
Cambuquira,MG,30,,
Campanário,MG,30,,
Campanha,MG,30,,
Campestre,MG,26,,
Campina Verde,MG,30,,
Campo Azul,MG,50,,
Campo Belo,MG,30,,
Campo do Meio,MG,26,,
Campo Florido,MG,24,,
Campos Altos,MG,35,,
Campos Gerais,MG,26,,
Cana Verde,MG,30,,
Canaã,MG,28,,
Canápolis,MG,30,,
Candeias,MG,30,,
Cânego Marinho,MG,65,,
Cantagalo,MG,24,,
Caparaó,MG,24,,
Capela Nova,MG,30,,
Capelinha,MG,40,,
Capetinga,MG,28,,
Capim Branco,MG,7,,
Capinópolis,MG,30,,
Capitão Andrade,MG,30,,
Capitão Enéas,MG,50,,
Capitólio,MG,26,,
Caputira,MG,24,,
Caraí,MG,65,,
Caranaíba,MG,30,,
Carandaí,MG,22,,
Carangola,MG,28,,
Caratinga,MG,20,,
Carbonita,MG,40,,
Careaçu,MG,30,,
Carlos Chagas,MG,50,,
Carmésia,MG,30,,
Carmo da Cachoeira,MG,30,,
Carmo da Mata,MG,30,,
Carmo de Minas,MG,30,,
Carmo do Cajuru,MG,20,,
Carmo do Paranaíba,MG,40,,
Carmo do Rio Claro,MG,26,,
Carmópolis de Minas,MG,30,,
Carneirinho,MG,30,,
Carrancas,MG,30,,
Carvalhópolis,MG,30,,
Carvalhos,MG,30,,
Casa Grande,MG,20,,
Cascalho Rico,MG,40,,
Cássia,MG,26,,
Cataguases,MG,30,,
Catas Altas,MG,20,,
Catas Altas da Noruega,MG,20,,
Catuji,MG,40,,
Catuti,MG,65,,
Caxambu,MG,30,,
Cedro do Abaeté,MG,40,,
Central de Minas,MG,30,,
Centralina,MG,20,,
Chácara,MG,24,,
Chalé,MG,24,,
Chapada do Norte,MG,40,,
Chapada Gaúcha,MG,65,,
Chiador,MG,24,,
Cipotânea,MG,22,,
Claraval,MG,28,,
Claro dos Poç§es,MG,50,,
Cláudio,MG,30,,
Coimbra,MG,28,,
Coluna,MG,30,,
Comendador Gomes,MG,30,,
Comercinho,MG,65,,
Conceição da Aparecida,MG,26,,
Conceição da Barra de Minas,MG,30,,
Conceição das Alagoas,MG,24,,
Conceição das Pedras,MG,30,,
Conceição de Ipanema,MG,30,,
Conceição do Mato Dentro,MG,20,,
Conceição do Pará,MG,35,,
Conceição do Rio Verde,MG,30,,
Conceição dos Ouros,MG,30,,
Confins,MG,7,,
Congonhal,MG,30,,
Congonhas,MG,20,,
Congonhas do Norte,MG,20,,
Conquista,MG,24,,
Conselheiro Lafaiete,MG,20,,
Conselheiro Pena,MG,30,,
Consolação,MG,30,,
Contagem,MG,7,,
Coqueiral,MG,26,,
Coração de Jesus,MG,50,,
Cordisburgo,MG,20,,
Cordislândia,MG,30,,
Corinto,MG,50,,
Coroaci,MG,24,,
Coromandel,MG,40,,
Coronel Fabriciano,MG,20,,
Coronel Murta,MG,65,,
Coronel Pacheco,MG,24,,
Coronel Xavier Chaves,MG,22,,
Córrego Danta,MG,35,,
Córrego do Bom Jesus,MG,30,,
Córrego Fundo,MG,30,,
Córrego Novo,MG,20,,
Couto de Magalhães de Minas,MG,40,,
Crisólita,MG,60,,
Cristais,MG,30,,
Cristália,MG,50,,
Cristiano Otoni,MG,20,,
Cristina,MG,30,,
Crucilândia,MG,20,,
Cruzeiro da Fortaleza,MG,40,,
Cruzília,MG,30,,
Cuparaque,MG,30,,
Curral de Dentro,MG,65,,
Curvelo,MG,40,,
Datas,MG,40,,
Delfim Moreira,MG,30,,
Delfinópolis,MG,26,,
Delta,MG,24,,
Descoberto,MG,24,,
Desterro de Entre Rios,MG,30,,
Desterro do Melo,MG,22,,
Diamantina,MG,40,,
Diogo de Vasconcelos,MG,26,,
Dionísio,MG,20,,
Divinésia,MG,30,,
Divino,MG,24,,
Divino das Laranjeiras,MG,30,,
Divinolândia de Minas,MG,24,,
Divinópolis,MG,20,,
Divisa Alegre,MG,65,,
Divisa Nova,MG,26,,
Divisópolis,MG,60,,
Dom Bosco,MG,50,,
Dom Cavati,MG,20,,
Dom Joaquim,MG,30,,
Dom Silvério,MG,26,,
Dom Viçoso,MG,30,,
Dona Eusébia,MG,30,,
Dores de Campos,MG,30,,
Dores de Guanhães,MG,30,,
Dores do Indaiá,MG,35,,
Dores do Turvo,MG,28,,
Doresópolis,MG,35,,
Douradoquara,MG,40,,
Durandé,MG,24,,
Elói Mendes,MG,26,,
Engenheiro Caldas,MG,20,,
Engenheiro Navarro,MG,40,,
Entre Folhas,MG,20,,
Entre Rios de Minas,MG,30,,
Ervália,MG,28,,
Esmeraldas,MG,7,,
Espera Feliz,MG,24,,
Espinosa,MG,65,,
Espírito Santo do Dourado,MG,30,,
Estiva,MG,30,,
Estrela Dalva,MG,30,,
Estrela do Indaiá,MG,35,,
Estrela do Sul,MG,40,,
Eugenópolis,MG,28,,
Ewbank da Câmara,MG,24,,
Extrema,MG,30,,
Fama,MG,26,,
Faria Lemos,MG,28,,
Felício dos Santos,MG,40,,
Felisburgo,MG,60,,
Felixlândia,MG,40,,
Fernandes Tourinho,MG,20,,
Ferros,MG,20,,
Fervedouro,MG,28,,
Florestal,MG,20,,
Formiga,MG,30,,
Formoso,MG,65,,
Fortaleza de Minas,MG,28,,
Fortuna de Minas,MG,20,,
Francisco Badaró,MG,40,,
Francisco Dumont,MG,40,,
Francisco Sá,MG,50,,
Franciscópolis,MG,40,,
Frei Gaspar,MG,40,,
Frei Inocêncio,MG,30,,
Frei Lagonegro,MG,30,,
Fronteira,MG,30,,
Fronteira dos Vales,MG,50,,
Fruta de Leite,MG,65,,
Frutal,MG,30,,
Funilândia,MG,20,,
Galiléia,MG,30,,
Gameleiras,MG,65,,
Glaucilândia,MG,50,,
Goiabeira,MG,30,,
Goianá,MG,30,,
Gonçalves,MG,30,,
Gonzaga,MG,24,,
Gouveia,MG,40,,
Governador Valadares,MG,30,,
Grão Mogol,MG,50,,
Grupiara,MG,40,,
Guanhães,MG,30,,
Guapé,MG,26,,
Guaraciaba,MG,22,,
Guaraciama,MG,40,,
Guaranésia,MG,28,,
Guarani,MG,30,,
Guarará,MG,24,,
Guarda-Mor,MG,65,,
Guaxupé,MG,28,,
Guidoval,MG,30,,
Guimarânia,MG,40,,
Guiricema,MG,30,,
Gurinhatã,MG,30,,
Heliodora,MG,30,,
Iapu,MG,20,,
Ibertioga,MG,22,,
Ibiá,MG,35,,
Ibiaí,MG,50,,
Ibiracatu,MG,50,,
Ibiraci,MG,28,,
Ibirité,MG,7,,
Ibitiúra de Minas,MG,26,,
Ibituruna,MG,30,,
Icaraí de Minas,MG,65,,
Igarapé,MG,20,,
Igaratinga,MG,20,,
Iguatama,MG,35,,
Ijaci,MG,30,,
Ilicínea,MG,26,,
Imbé de Minas,MG,20,,
Inconfidentes,MG,30,,
Indaiabira,MG,65,,
Indianópolis,MG,40,,
Ingaí,MG,30,,
Inhapim,MG,20,,
Inhaúma,MG,20,,
Inimutaba,MG,40,,
Ipaba,MG,20,,
Ipanema,MG,30,,
Ipatinga,MG,20,,
Ipiaçu,MG,30,,
Ipuiúna,MG,26,,
Iraí de Minas,MG,35,,
Itabira,MG,20,,
Itabirinha,MG,30,,
Itabirito,MG,20,,
Itacambira,MG,50,,
Itacarambi,MG,65,,
Itaguara,MG,30,,
Itaipé,MG,40,,
Itajubá,MG,30,,
Itamarandiba,MG,40,,
Itamarati de Minas,MG,30,,
Itambacuri,MG,30,,
Itambé do Mato Dentro,MG,20,,
Itamogi,MG,28,,
Itamonte,MG,30,,
Itanhandu,MG,30,,
Itanhomi,MG,30,,
Itaobim,MG,65,,
Itapagipe,MG,30,,
Itapecerica,MG,30,,
Itapeva,MG,30,,
Itatiaiuçu,MG,20,,
Itaú de Minas,MG,26,,
Itaúna,MG,20,,
Itaverava,MG,20,,
Itinga,MG,65,,
Itueta,MG,30,,
Ituiutaba,MG,30,,
Itumirim,MG,30,,
Iturama,MG,30,,
Itutinga,MG,30,,
Jaboticatubas,MG,20,,
Jacinto,MG,60,,
Jacuí,MG,28,,
Jacutinga,MG,30,,
Jaguaraçu,MG,20,,
Jaíba,MG,65,,
Jampruca,MG,30,,
Janaúba,MG,50,,
Januária,MG,65,,
Japaraíba,MG,35,,
Japonvar,MG,50,,
Jeceaba,MG,20,,
Jenipapo de Minas,MG,40,,
Jequeri,MG,26,,
Jequitaí,MG,50,,
Jequitibá,MG,20,,
Jequitinhonha,MG,60,,
Jesuânia,MG,30,,
Joaíma,MG,60,,
Joanésia,MG,30,,
João Monlevade,MG,20,,
João Pinheiro,MG,65,,
Joaquim Felício,MG,40,,
Jordânia,MG,60,,
José Gonçalves de Minas,MG,40,,
José Raydan,MG,30,,
Josenópolis,MG,50,,
Juatuba,MG,20,,
Juiz de Fora,MG,24,,
Juramento,MG,50,,
Juruaia,MG,28,,
Juvenília,MG,65,,
Ladainha,MG,40,,
Lagamar,MG,65,,
Lagoa da Prata,MG,35,,
Lagoa dos Patos,MG,50,,
Lagoa Dourada,MG,30,,
Lagoa Formosa,MG,40,,
Lagoa Grande,MG,65,,
Lagoa Santa,MG,7,,
Lajinha,MG,24,,
Lambari,MG,30,,
Lamim,MG,28,,
Laranjal,MG,30,,
Lassance,MG,50,,
Lavras,MG,30,,
Leandro Ferreira,MG,35,,
Leme do Prado,MG,40,,
Leopoldina,MG,30,,
Liberdade,MG,30,,
Lima Duarte,MG,24,,
Limeira do Oeste,MG,30,,
Lontra,MG,50,,
Luisburgo,MG,24,,
Luislândia,MG,50,,
Luminárias,MG,30,,
Luz,MG,35,,
Machacalis,MG,60,,
Machado,MG,26,,
Madre de Deus de Minas,MG,30,,
Malacacheta,MG,40,,
Mamonas,MG,65,,
Manga,MG,65,,
Manhuaçu,MG,24,,
Manhumirim,MG,24,,
Mantena,MG,30,,
Mar de Espanha,MG,24,,
Maravilhas,MG,20,,
Maria da Fé,MG,30,,
Mariana,MG,20,,
Marilac,MG,24,,
Mário Campos,MG,7,,
Maripá de Minas,MG,24,,
Marliéria,MG,20,,
Marmelópolis,MG,30,,
Martinho Campos,MG,40,,
Martins Soares,MG,24,,
Mata Verde,MG,60,,
Materlândia,MG,24,,
Mateus Leme,MG,20,,
Mathias Lobato,MG,30,,
Matias Barbosa,MG,24,,
Matias Cardoso,MG,65,,
Matipó,MG,24,,
Mato Verde,MG,65,,
Matozinhos,MG,7,,
Matutina,MG,40,,
Medeiros,MG,35,,
Medina,MG,65,,
Mendes Pimentel,MG,30,,
Mercês,MG,24,,
Mesquita,MG,30,,
Minas Novas,MG,40,,
Minduri,MG,30,,
Mirabela,MG,50,,
Miradouro,MG,28,,
Miraí,MG,28,,
Miravânia,MG,65,,
Moeda,MG,20,,
Moema,MG,35,,
Monjolos,MG,40,,
Monsenhor Paulo,MG,30,,
Montalvânia,MG,65,,
Monte Alegre de Minas,MG,20,,
Monte Azul,MG,65,,
Monte Belo,MG,28,,
Monte Carmelo,MG,40,,
Monte Formoso,MG,60,,
Monte Santo de Minas,MG,28,,
Monte Sião,MG,30,,
Montes Claros,MG,40,,
Montezuma,MG,65,,
Morada Nova de Minas,MG,40,,
Morro da Garça,MG,40,,
Morro do Pilar,MG,20,,
Munhoz,MG,30,,
Muriaé,MG,28,,
Mutum,MG,30,,
Muzambinho,MG,28,,
Nacip Raydan,MG,24,,
Nanuque,MG,50,,
Naque,MG,30,,
Natalândia,MG,50,,
Natércia,MG,30,,
Nazareno,MG,30,,
Nepomuceno,MG,26,,
Ninheira,MG,65,,
Nova Belém,MG,30,,
Nova Era,MG,20,,
Nova Lima,MG,7,,
Nova Módica,MG,30,,
Nova Ponte,MG,35,,
Nova Porteirinha,MG,65,,
Nova Resende,MG,28,,
Nova Serrana,MG,35,,
Nova União,MG,7,,
Novo Cruzeiro,MG,65,,
Novo Oriente de Minas,MG,40,,
Novorizonte,MG,65,,
Olaria,MG,24,,
Olhos-D'água,MG,40,,
Olímpio Noronha,MG,30,,
Oliveira,MG,30,,
Oliveira Fortes,MG,24,,
Onça de Pitangui,MG,20,,
Oratórios,MG,26,,
Orizânia,MG,24,,
Ouro Branco,MG,20,,
Ouro Fino,MG,30,,
Ouro Preto,MG,20,,
Ouro Verde de Minas,MG,50,,
Padre Carvalho,MG,50,,
Padre Paraíso,MG,65,,
Pai Pedro,MG,65,,
Paineiras,MG,40,,
Pains,MG,35,,
Paiva,MG,24,,
Palma,MG,30,,
Palmópolis,MG,60,,
Papagaios,MG,20,,
Pará de Minas,MG,20,,
Paracatu,MG,50,,
Paraguaçu,MG,26,,
Paraisópolis,MG,30,,
Paraopeba,MG,20,,
Passa Quatro,MG,30,,
Passa Tempo,MG,30,,
